species,cot,func_group,diameter,SRL,RTD,SLA,RDMC,total_length,branching_intensity,total_volume,root_shoot_ratio,above_to_below_scan,above_to_below_total,organ,N_roots,,
monarda_fistulosa,D,F,0.262438251,7777.845258,0.240926707,308.2375074,0.158598625,3980.7197,1.661013314,2.07,0.488509598,2.053348443,2.20820073,P,2.064381361,,
oligoneuron_rigidum,D,F,0.341740384,2858.227339,0.394480083,120.5584313,0.285868139,3467.7259,0.94891108,3.1405,0.621750218,1.649435259,1.70225093,P,2.791253925,2.395036936,3.187470913
panicum_virgatum,M,G,0.285794332,2712.03926,0.575814865,45.32532815,0.524247965,2428.126,2.233162566,1.5865,1.641478862,0.552294321,0.577628911,R,1.680143833,,
parthenium_integrifolium,D,F,0.371710217,879.9964741,1.083779958,108.6134557,0.298295264,2010.46685,0.766644181,2.1085,1.732135649,0.595606682,0.729400461,P,2.734432818,,
penstemon_digitalis,D,F,0.348279438,4169.402819,0.269454151,128.5795699,0.168855381,1567.8153,0.962758109,1.7745,0.30449328,3.376462669,3.374131962,P,3.308694601,,
penstemon_hirsutus,D,F,0.330586134,3891.3226,0.302181223,127.6824925,0.214475992,2092.5879,1.588702518,1.776,0.37816935,2.644382684,3.155356352,P,3.262029648,,
phlox_pilosa,D,F,0.309854442,6294.359342,0.211396257,190.4879053,0.159632266,4760.26245,0.885328286,3.7905,0.448482437,2.274913435,2.0671654,P,3.286880732,,
physostegia_virginiana,D,F,0.375014306,9117.901895,0.113412938,424.2894057,0.069224248,1680.54065,0.822133693,1.3715,1.353744016,1.056289577,0.868303741,R,3.674066067,3.754866362,3.593265772
polemonium_reptans,D,F,0.293972317,5558.581593,0.282102612,213.0668645,0.192674771,8600.2167,0.874531049,6.169,0.539774739,1.928869451,1.989624685,P,1.960637452,,
potentilla_arguta,D,F,0.312629405,4091.221471,0.319756796,414.7638577,0.264214238,3193.1103,1.501134694,2.5055,0.789767034,1.423980835,1.788725899,R,2.940592527,3.502562761,2.378622293
pycnanthemum_pilosum,D,F,0.300244771,6463.496839,0.218581445,360.0979772,0.180220907,2626.0714,1.328685535,1.873,0.662964035,1.524597293,1.806441091,R,3.069903135,,
pycnanthemum_tenuifolium,D,F,0.312321418,5502.663112,0.269656207,207.8438549,0.191281479,2482.2748,1.492160398,1.7495,0.50274746,1.946061061,1.655440781,R,2.526840925,,
pycnanthemum_virginianum,D,F,0.29164116,5380.167371,0.291117638,232.0319196,0.246305695,2830.257,1.271127892,1.8745,0.639005746,1.672511389,1.47267877,R,3.852014542,,
ratibida_pinnata,D,F,0.334449989,3962.084123,0.300806247,74.73743609,0.228500836,3085.30405,0.785052455,2.824,0.59590873,1.756713173,2.036006507,R,2.707401991,,
rudbeckia_fulgida,D,F,0.462086626,3813.710642,0.157215951,61.39839861,0.147488591,2982.98835,0.664363543,4.9285,0.544811402,1.915565323,1.74401308,S,2.753106356,,
rudbeckia_hirta,D,F,0.29965,8682.005582,0.165207585,170.9701708,0.185538087,917.9505,1.607152879,0.7155,0.115103538,13.77994814,12.46424814,R,3.505962849,,
rudbeckia_subtomentosa,D,F,0.319627176,14021.17578,0.093881032,180.0459869,0.136305177,2136.73285,1.074609909,1.696,0.102347459,9.915331984,7.215477108,R,1.92901957,,
rudbeckia_triloba,D,F,0.2698,10125.39049,0.177487716,97.60244708,0.18218106,2294.0085,0.808894628,1.3245,0.302486153,3.336172576,3.192401276,R,2.61560297,,
schizachyrium_scoparium,M,G,0.209349934,5708.339014,0.533116317,62.10000384,0.579611627,2590.4343,2.827547769,0.884,0.584471781,2.201566861,2.210578334,R,1.763237,,
senna_hebecarpa,D,N,0.4079,757.0320256,1.033861921,288.7990411,0.458088017,1614.0663,1.510850241,2.165,3.618995134,0.301020751,0.425172625,P,3.128399169,,
senna_marilandica,D,N,0.4551,13334.01566,0.616095342,304.322522,0.319582922,607.8737,1.626756995,1.332,1.666088223,5.122467546,1.956008729,P,3.520915375,,
silphium_integrifolium,D,F,0.382285354,2810.650862,0.311889345,159.2433409,0.175753209,1759.56155,0.425343195,1.9435,0.898242626,1.129895302,1.43444908,R,2.42762115,,
silphium_laciniatum,D,F,0.509344833,622.6233322,0.850359852,78.52189436,0.271589668,561.2491333,0.417263389,1.151333333,3.617616919,0.281308968,0.332330131,P,2.057343429,1.657630382,2.457056477
silphium_terebinthinaceum,D,F,0.500305126,1111.230115,0.528668135,126.2980677,0.244607089,1351.606875,0.416390199,2.615,3.751770223,0.437908108,0.290107136,P,1.485862579,1.502267054,1.469458104
solidago_juncea,D,F,0.413199468,1956.633707,0.382056251,101.8258772,0.211140547,1996.01245,1.931942029,2.6565,0.650618404,1.803309881,2.653557063,P,2.935634256,2.855298996,3.015969515
solidago_nemoralis,D,F,0.368014866,3381.057273,0.280872921,132.9712532,0.185531527,1700.8375,1.038295593,1.868,0.266359291,3.94367718,3.881591018,P,2.310001135,,
solidago_speciosa,D,F,0.452542076,1192.465136,0.532432516,120.0274186,0.280706368,1669.50205,1.293353029,2.746,0.95666676,1.198313474,1.748950165,P,2.947546482,,
sorghastrum_nutans,M,G,0.250091848,7087.91672,0.311859583,39.47097966,0.293749118,3509.0793,3.234205038,1.6755,0.639790144,1.954040625,1.707233185,R,1.814996004,,
spiraea_alba,D,SS,0.235,4593.899112,0.510192015,265.7150517,0.461714446,1058.7265,1.768334737,0.4615,1.015844258,1.176525333,1.938343554,P,2.150657377,,
sporobolus_heterolepis,M,G,0.195108948,11262.26779,0.29696613,36.99839828,0.458788413,2890.11,3.247489161,0.8575,0.501581616,2.17429852,1.882616173,P,1.793243,,
symphyotrichum_ericoides,D,F,0.36335,4580.748499,0.23151841,172.4219512,0.159691584,1196.8829,1.388795284,1.2725,0.462348594,2.340802019,2.627468175,R,4.570143223,,
symphyotrichum_laeve,D,F,0.31785,4363.552896,0.290261725,141.3186485,0.212410263,1599.2106,1.006849061,1.299,0.503143439,1.988067557,1.586651477,R,3.222189546,3.450054407,2.994324684
symphyotrichum_novae-angliae,D,F,0.400706967,4505.431128,0.230592503,201.5765366,0.18063471,2804.55995,1.339258855,3.581,0.728728178,2.146410212,3.199935376,R,3.323024988,,
symphyotrichum_sericeum,D,F,0.30735,5352.330431,0.263807363,159.4468348,0.318807651,1056.39215,1.220445638,0.8315,0.36268146,2.766946754,2.568095754,P,5.156025648,5.174638271,5.137413025
teucrium_canadense,D,F,0.2336,15302.62649,0.154013947,293.3234616,0.154691587,1538.9959,1.769677148,0.6455,0.104140336,0.447266653,0.524406932,R,2.962926746,2.988020182,2.937833309
thalictrum_dasycarpum,D,F,0.399277327,1999.374694,0.448867659,195.9010959,0.199386655,5480.4473,1.077326892,6.157,1.948912695,0.513492244,0.593537949,R,3.068780899,2.813529491,3.324032307
tradescantia_ohiensis,M,F,0.59035,4567.707648,0.144554542,247.268477,0.080034259,448.79845,2.250552961,1.944,0.485901425,2.212462644,2.575508523,P,4.760399818,,
verbena_stricta,D,F,0.2905,3281.846521,0.460327101,171.7681914,0.307856331,2823.6494,1.075319429,1.868,0.751273562,1.47811005,1.625835501,P,2.09567713,,
vernonia_fasciculata,D,F,0.5401,1511.301902,0.425204901,163.077075,0.194078409,790.7528,0.868698391,1.897666667,1.96196282,0.427055149,0.592698838,P,2.587037325,2.922439337,2.251635313
vernonia_gigantea,D,F,0.4066,1869.403678,0.412049689,302.1400326,0.381045376,620.0812,1.403042053,0.805,0.632411821,1.581248116,0.279574889,R,2.17353797,,
vernonia_missurica,D,F,0.6285,973.9789441,0.440490321,146.8910653,0.240137038,594.7409,0.66184866,1.844,2.022142345,0.830650191,0.825784807,P,2.956047297,2.928825855,2.983268738
veronicastrum_virginicum,D,F,0.280127982,3646.708676,0.459971411,208.5935708,0.252358265,5519.05365,0.923281252,3.478,0.661444931,1.597022791,1.42938104,P,2.617735863,,
viola_pedatifida,D,F,0.273606787,11149.38477,0.152330466,187.1440195,0.11838321,8490.2565,1.124583221,4.999,1.032682398,0.987203363,0.987203363,R,2.364217043,,
zizia_aptera,D,F,0.329150317,2441.309219,0.482965139,97.05847148,0.247151081,1770.2004,1.545174427,1.571,0.573531491,1.826539043,1.797048204,P,3.23746933,,
